timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,gps_penetration_rate_requested
0,1i,150.0,0,0.0,0,0.0,False,0,,,,0.15
5,1i,150.0,0,0.0,0,0.0,False,0,,,,0.15
10,1i,150.0,0,0.0,0,0.0,False,0,,,,0.15
15,1i,150.0,2,25.5539,0,0.0,False,1,24.1424,432.13,432.13,0.15
20,1i,150.0,3,15.9066,0,0.0,False,2,21.7615,311.65,455.35,0.15
25,1i,150.0,4,8.753,1,1.0,False,2,20.7217,195.37,361.23,0.15
30,1i,150.0,5,5.6806,2,1.0,False,2,17.6554,99.18,266.11,0.15
35,1i,150.0,7,6.7955,3,1.0,False,2,13.4447,40.93,172.93,0.15
40,1i,150.0,9,5.3259,4,8.01,False,2,8.2913,20.78,87.86,0.15
45,1i,150.0,10,3.5026,7,27.76,False,3,10.8287,20.71,384.49,0.15
50,1i,150.0,9,9.1114,3,30.87,False,2,14.8674,10.92,263.39,0.15
55,1i,150.0,8,10.2064,2,13.71,False,1,23.8759,143.37,143.37,0.15
60,1i,150.0,5,7.686,3,17.74,False,1,14.1513,50.55,50.55,0.15
65,1i,150.0,4,4.7657,3,17.71,False,0,,,,0.15
70,1i,150.0,6,9.951,3,17.71,False,0,,,,0.15
75,1i,150.0,5,2.5359,3,17.71,False,0,,,,0.15
80,1i,150.0,6,5.4071,2,21.72,False,0,,,,0.15
85,1i,150.0,8,10.7031,1,1.0,False,0,,,,0.15
90,1i,150.0,9,7.278,3,5.0,False,1,26.1614,402.17,402.17,0.15
95,1i,150.0,9,1.6834,4,8.0,False,2,25.2326,268.39,432.34,0.15
100,1i,150.0,11,3.648,8,26.05,False,2,24.193,135.14,314.59,0.15
105,1i,150.0,13,3.8442,9,30.05,False,3,19.723,43.94,456.26,0.15
110,1i,150.0,14,2.744,9,30.05,False,3,13.1321,19.63,335.92,0.15
115,1i,150.0,14,0.4932,11,30.05,False,3,8.6704,19.0,224.18,0.15
120,1i,150.0,18,3.7375,14,55.1,False,3,6.3108,19.0,131.73,0.15
125,1i,150.0,19,2.695,14,55.09,False,3,4.8909,19.0,55.09,0.15
130,1i,150.0,20,1.2136,16,62.13,False,3,0.7425,9.64,55.09,0.15
135,1i,150.0,23,2.6188,19,78.81,False,4,6.8638,9.0,428.85,0.15
140,1i,150.0,18,1.7254,14,82.8,False,3,8.766,19.0,295.66,0.15
145,1i,150.0,17,1.6049,12,86.81,False,4,12.2131,19.0,455.94,0.15
150,1i,150.0,16,1.8546,10,90.63,False,4,10.2546,19.0,321.57,0.15
155,1i,150.0,16,4.0468,6,30.01,False,4,7.9107,6.44,193.62,0.15
160,1i,150.0,16,4.7225,6,30.01,False,3,5.7339,19.0,118.08,0.15
165,1i,150.0,17,3.9243,8,34.01,False,3,5.0724,19.0,81.31,0.15
170,1i,150.0,18,3.854,10,34.01,False,3,2.8023,19.0,47.44,0.15
175,1i,150.0,17,3.3246,9,35.21,False,3,1.3395,2.34,35.21,0.15
