scenario,split,penetration,penetration_tag,n_rows,mean_probe_count,median_probe_count,zero_probe_pct,missing_probe_mean_speed_pct,missing_probe_min_distance_pct,missing_probe_max_distance_pct,missing_probe_count_change_pct,missing_probe_max_distance_change_pct
scenario_east_west_heavy,TEST,11,p11,2884,2.530166435506241,1.0,37.10124826629681,37.10124826629681,37.10124826629681,37.10124826629681,0.8321775312066574,45.561719833564496
scenario_east_west_heavy,TEST,25,p25,2884,6.447642163661581,2.0,20.284327323162273,20.284327323162273,20.284327323162273,20.284327323162273,0.8321775312066574,29.09153952843273
scenario_east_west_heavy,TEST,50,p50,2884,12.42371705963939,4.0,6.102635228848821,6.102635228848821,6.102635228848821,6.102635228848821,0.8321775312066574,11.407766990291263
scenario_south_heavy,TEST,11,p11,2884,1.5974341192787795,1.0,47.95423023578363,47.95423023578363,47.95423023578363,47.95423023578363,0.8321775312066574,58.945908460471564
scenario_south_heavy,TEST,25,p25,2884,4.677184466019417,1.0,29.160887656033285,29.160887656033285,29.160887656033285,29.160887656033285,0.8321775312066574,42.4757281553398
scenario_south_heavy,TEST,50,p50,2884,10.012829403606103,2.0,10.298196948682385,10.298196948682385,10.298196948682385,10.298196948682385,0.8321775312066574,18.377253814147018
scenario_burst_demand_OOD,OOD,11,p11,2884,3.7260748959778085,4.0,25.416088765603327,25.416088765603327,25.416088765603327,25.416088765603327,0.8321775312066574,31.761442441054093
scenario_burst_demand_OOD,OOD,25,p25,2884,9.776005547850207,12.0,13.106796116504855,13.106796116504855,13.106796116504855,13.106796116504855,0.8321775312066574,20.041608876560332
scenario_burst_demand_OOD,OOD,50,p50,2884,20.169556171983356,26.0,2.7739251040221915,2.7739251040221915,2.7739251040221915,2.7739251040221915,0.8321775312066574,5.825242718446602
scenario_heavy_vehicle_OOD,OOD,11,p11,2884,3.9271844660194173,4.0,10.36754507628294,10.36754507628294,10.36754507628294,10.36754507628294,0.8321775312066574,13.592233009708737
scenario_heavy_vehicle_OOD,OOD,25,p25,2884,8.953536754507628,8.0,2.808599167822469,2.808599167822469,2.808599167822469,2.808599167822469,0.8321775312066574,4.993065187239944
scenario_heavy_vehicle_OOD,OOD,50,p50,2884,16.83911234396671,17.0,0.3814147018030513,0.3814147018030513,0.3814147018030513,0.3814147018030513,0.8321775312066574,1.2829403606102634
scenario_north_extreme_OOD,OOD,11,p11,2884,2.502773925104022,0.0,59.049930651872394,59.049930651872394,59.049930651872394,59.049930651872394,0.8321775312066574,67.12898751733704
scenario_north_extreme_OOD,OOD,25,p25,2884,6.653606102635229,1.0,41.816920943134534,41.816920943134534,41.816920943134534,41.816920943134534,0.8321775312066574,55.374479889042995
scenario_north_extreme_OOD,OOD,50,p50,2884,13.688626907073509,1.0,22.954230235783633,22.954230235783633,22.954230235783633,22.954230235783633,0.8321775312066574,36.407766990291265
scenario_very_high_demand_OOD,OOD,11,p11,2884,6.044729542302358,6.0,2.9819694868238558,2.9819694868238558,2.9819694868238558,2.9819694868238558,0.8321775312066574,5.409153952843273
scenario_very_high_demand_OOD,OOD,25,p25,2884,13.825242718446601,15.0,0.45076282940360607,0.45076282940360607,0.45076282940360607,0.45076282940360607,0.8321775312066574,1.4909847434119279
scenario_very_high_demand_OOD,OOD,50,p50,2884,31.489597780859917,33.0,0.24271844660194172,0.24271844660194172,0.24271844660194172,0.24271844660194172,0.8321775312066574,1.0748959778085991
