split,scenario,p25_mae,p50_mae,mae_change_pct_p50_vs_p25,p25_rmse,p50_rmse,rmse_change_pct_p50_vs_p25,p25_r2,p50_r2,r2_change_p50_vs_p25
TEST,scenario_east_west_heavy,12.658397809831019,22.632286003343513,-78.79265878155901,25.857769810324406,46.03497949764042,-78.031515615317,0.9793965262991126,0.9346968356907132,-0.0446996906083994
TEST,scenario_south_heavy,8.430730646815128,10.407950476759584,-23.452532322229853,25.771592059417436,32.59043289509105,-26.45874891994449,0.9792720539467169,0.9668522517688102,-0.012419802177906725
OOD,scenario_burst_demand_OOD,19.854212730702777,27.407313755695455,-38.042813016264695,45.54869876834457,61.45831050732297,-34.92879526568443,0.9555838269550164,0.919136893434637,-0.03644693352037942
OOD,scenario_heavy_vehicle_OOD,25.847684832045445,38.621867404456985,-49.42099323562768,39.28086074468824,57.92557181343868,-47.465128602793335,0.9380723281769372,0.8653323068405011,-0.07274002133643609
OOD,scenario_north_extreme_OOD,6.197739244334545,8.843375072449627,-42.68711095797554,25.907037526146375,33.732386330486946,-30.205494535772097,0.9810893999799067,0.9679399694610729,-0.013149430518833882
OOD,scenario_very_high_demand_OOD,25.72024764096122,40.8502529626515,-58.82527078625299,45.97880028791464,70.94812499557858,-54.306168389145725,0.9093718065750687,0.7842107043029062,-0.12516110227216248
