trial,is_control,label,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,max_depth,validation_mae,validation_rmse,validation_r2,validation_n
1,True,trial13_anchor,0.058091581453305466,151,54,25,0.4703241617286455,8,4.984758887599799,20.46268828590914,0.9718417156921503,5768
2,True,trial7_anchor,0.025034102152280427,369,52,35,0.5026027425593955,10,4.986771053978154,20.22998316135369,0.9724785155557095,5768
3,True,trial39_reference,0.029408750401585824,279,45,31,0.7821181139450191,10,4.992468934770762,20.34351718611585,0.9721687384463285,5768
4,False,ridge_interp_t0.25,0.049827211628049206,206,54,28,0.478393806936333,9,5.0789801753131725,20.487720635184157,0.9717727805516307,5768
5,False,ridge_interp_t0.5,0.041562841802792946,260,53,30,0.48646345214402054,9,5.1076392034291365,20.653140844274624,0.9713151207591151,5768
6,False,ridge_interp_t0.75,0.03329847197753669,315,53,33,0.49453309735170803,10,4.991991599414905,20.403069517553366,0.972005556986057,5768
7,False,near_trial13_1,0.056236203565420875,170,52,27,0.529597545259111,7,5.074780498414216,20.75003649903322,0.9710453351467798,5768
8,False,near_trial13_2,0.04968055921327309,164,52,30,0.6098528437324806,8,5.188173066956252,20.85398326833666,0.9707545132501733,5768
9,False,near_trial13_3,0.06303345035229627,145,55,24,0.6409729556485984,9,5.004714571348892,20.35943174052322,0.9721251771123459,5768
10,False,near_trial13_4,0.06997327922401264,120,53,24,0.5352444528883149,7,5.107035210698437,20.69330735270927,0.9712034387798949,5768
11,False,near_trial13_5,0.06334959481464843,125,50,20,0.5074323980775167,8,4.995483117184865,20.506227921275908,0.971721760217,5768
12,False,near_trial7_1,0.019610763929456904,420,53,38,0.44623584798613947,9,4.9721035870203405,20.46713872118551,0.9718294660553844,5768
13,False,near_trial7_2,0.022579946781355956,420,54,35,0.5948528588682824,10,5.005399113597246,20.419561949400645,0.9719602811470596,5768
14,False,near_trial7_3,0.026327600034121247,333,49,29,0.3545144416523609,12,5.072182500048427,20.64070233908941,0.9713496617115113,5768
15,False,near_trial7_4,0.024553610658618726,410,52,32,0.6098886710554046,10,4.998058883131305,20.267325929682553,0.9723768173034109,5768
16,False,near_trial7_5,0.026132281246970226,330,48,38,0.6112022693423602,9,4.998207565355352,20.248116475223966,0.9724291552198164,5768
17,False,mid_product_lean_trial7,0.035,257,53,30,0.48646345214402054,10,5.015757573169095,20.53616219690354,0.9716391407840694,5768
18,False,mid_product_lean_trial13,0.045,200,53,30,0.48646345214402054,8,5.112982026672843,20.644585295844937,0.9713388812170454,5768
