split,mae,rmse,r2,n
VALIDATION,4.272012162196493,18.39490576983704,0.9772450467623733,5768
TEST,7.033425996168997,16.93029094928585,0.9912537085398873,5768
OOD,21.2938119602126,41.51414061583867,0.9583897192076294,11536
