penetration_rate,penetration_tag,split,mae,rmse,r2,n
0.05,p05,TEST,41.67043037502197,93.42488713349138,0.7336698914122539,5768
0.05,p05,OOD,61.77523984664637,100.50357828096286,0.7561225803417838,11536
0.11,p11,TEST,18.70683371138058,44.63078200212983,0.9392195242231118,5768
0.11,p11,OOD,34.75731905465618,63.10713528125068,0.9038464164741684,11536
0.25,p25,TEST,10.544564228323074,25.814716895995122,0.9796656714824141,5768
0.25,p25,OOD,19.404971112010998,40.00904475749852,0.9613521884071661,11536
0.5,p50,TEST,16.52011824005155,39.88330260671505,0.951462508249601,5768
0.5,p50,OOD,28.930702298813394,57.67149670388708,0.9196971447429902,11536
