timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,gps_penetration_rate_requested
0,1i,150.0,0,0.0,0,0.0,False,0,,,,0.5
5,1i,150.0,0,0.0,0,0.0,False,2,25.3113,375.41,384.3,0.5
10,1i,150.0,0,0.0,0,0.0,False,2,25.8178,241.19,261.58,0.5
15,1i,150.0,2,24.7752,0,0.0,False,2,24.7752,107.31,141.85,0.5
20,1i,150.0,3,15.4031,0,0.0,False,2,13.8211,18.43,38.15,0.5
25,1i,150.0,3,5.7068,1,1.0,False,2,0.9117,1.0,1.0,0.5
30,1i,150.0,3,0.2612,2,1.0,False,2,0.0,1.0,1.0,0.5
35,1i,150.0,5,10.2048,3,1.0,False,2,0.0,1.0,1.0,0.5
40,1i,150.0,6,7.0649,3,1.0,False,2,0.0,1.0,1.0,0.5
45,1i,150.0,6,1.0736,4,8.0,False,3,8.9772,1.0,401.72,0.5
50,1i,150.0,2,0.0024,2,5.0,False,2,13.3293,1.0,268.03,0.5
55,1i,150.0,4,12.484,2,5.0,False,2,13.2295,1.0,135.09,0.5
60,1i,150.0,5,10.5707,2,5.0,False,3,13.8674,1.0,483.3,0.5
65,1i,150.0,3,0.1904,2,5.0,False,4,12.9705,1.0,408.36,0.5
70,1i,150.0,3,0.0001,3,12.0,False,4,12.8023,1.0,286.69,0.5
75,1i,150.0,4,5.3351,3,12.0,False,4,11.2095,1.0,167.45,0.5
80,1i,150.0,5,10.0448,0,0.0,False,3,9.235,10.93,61.08,0.5
85,1i,150.0,3,8.0264,1,1.0,False,3,8.6496,1.0,418.28,0.5
90,1i,150.0,3,1.2979,2,1.0,False,3,6.451,1.0,322.05,0.5
95,1i,150.0,4,5.5979,3,1.0,False,3,6.2075,1.0,228.7,0.5
100,1i,150.0,6,7.7259,3,1.0,False,3,6.1774,1.0,134.72,0.5
105,1i,150.0,6,4.2143,4,5.03,False,4,10.109,1.0,428.44,0.5
110,1i,150.0,6,1.6932,4,5.0,False,4,7.873,1.0,292.69,0.5
115,1i,150.0,6,0.0074,6,13.71,False,4,6.6388,1.0,159.07,0.5
120,1i,150.0,9,5.6739,6,13.71,False,5,8.0377,1.0,455.36,0.5
125,1i,150.0,9,2.6455,6,13.71,False,6,8.6259,1.0,429.4,0.5
130,1i,150.0,9,0.3879,7,20.71,False,6,8.4907,1.0,293.24,0.5
135,1i,150.0,10,2.1495,9,26.42,False,6,8.0485,1.0,158.28,0.5
140,1i,150.0,8,5.9747,3,20.71,False,5,4.6975,1.0,58.13,0.5
145,1i,150.0,5,2.4105,3,20.71,False,6,8.1841,1.0,432.48,0.5
150,1i,150.0,4,0.0,4,24.71,False,6,8.0352,1.0,311.51,0.5
155,1i,150.0,5,4.173,4,24.71,False,6,8.1103,1.0,191.15,0.5
160,1i,150.0,7,8.3723,4,24.71,False,7,9.1127,1.0,433.26,0.5
165,1i,150.0,6,1.9402,4,24.71,False,8,7.4894,1.0,432.73,0.5
170,1i,150.0,5,0.6867,4,28.72,False,7,7.3218,1.0,311.03,0.5
175,1i,150.0,5,6.1069,1,1.0,False,6,9.1481,1.0,189.5,0.5
180,1i,150.0,6,4.9793,4,9.06,False,6,4.9793,1.0,76.46,0.5
185,1i,150.0,7,2.8527,5,9.0,False,6,0.94,1.0,20.34,0.5
190,1i,150.0,7,1.0344,6,16.0,False,6,0.0005,1.0,16.0,0.5
195,1i,150.0,8,2.4117,6,16.0,False,6,0.0,1.0,16.0,0.5
200,1i,150.0,9,2.8818,7,16.0,False,7,3.9069,1.0,428.8,0.5
205,1i,150.0,10,1.8949,8,16.0,False,8,6.3125,1.0,456.32,0.5
210,1i,150.0,10,0.5945,9,23.01,False,8,6.3523,1.0,335.77,0.5
215,1i,150.0,11,1.3233,9,23.01,False,8,4.8449,1.0,215.6,0.5
220,1i,150.0,13,3.0375,10,23.01,False,9,5.1984,1.0,408.34,0.5
225,1i,150.0,13,0.8092,11,23.01,False,10,4.994,1.0,454.22,0.5
230,1i,150.0,9,1.6619,6,30.02,False,8,6.561,1.0,358.77,0.5
235,1i,150.0,7,2.0884,6,30.01,False,6,5.6145,1.0,262.89,0.5
240,1i,150.0,6,0.0,6,30.01,False,6,7.7059,1.0,403.09,0.5
245,1i,150.0,8,3.6113,6,30.01,False,8,11.046,1.0,456.18,0.5
250,1i,150.0,9,4.4515,6,30.01,False,8,9.9565,1.0,359.18,0.5
