timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,queue_length_change_30s,speed_change_30s,visible_occupancy_fraction,visible_bike_frac,visible_car_frac,visible_hgv_frac,visible_bus_frac
205,1i,150.0,10,1.8949,8,16.0,False,15.0,-4.212000000000001,0.10666666666666667,0.2,0.6,0.2,0.0
210,1i,150.0,10,0.5945,9,23.01,False,13.950000000000001,-4.3848,0.1534,0.2,0.6,0.2,0.0
215,1i,150.0,11,1.3233,9,23.01,False,14.010000000000002,-1.5294,0.1534,0.2727272727272727,0.5454545454545454,0.18181818181818182,0.0
220,1i,150.0,13,3.0375,10,23.01,False,7.010000000000002,2.0031,0.1534,0.3076923076923077,0.5384615384615384,0.15384615384615385,0.0
225,1i,150.0,13,0.8092,11,23.01,False,7.010000000000002,-1.6025,0.1534,0.3076923076923077,0.5384615384615384,0.15384615384615385,0.0
230,1i,150.0,9,1.6619,6,30.02,False,14.02,-1.2199000000000002,0.20013333333333333,0.4444444444444444,0.4444444444444444,0.1111111111111111,0.0
235,1i,150.0,7,2.0884,6,30.01,False,14.010000000000002,0.1935,0.20006666666666667,0.42857142857142855,0.5714285714285714,0.0,0.0
240,1i,150.0,6,0.0,6,30.01,False,7.0,-0.5945,0.20006666666666667,0.5,0.5,0.0,0.0
245,1i,150.0,8,3.6113,6,30.01,False,7.0,2.2880000000000003,0.20006666666666667,0.375,0.375,0.125,0.125
250,1i,150.0,9,4.4515,6,30.01,False,7.0,1.4140000000000001,0.20006666666666667,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111
255,1i,150.0,9,1.667,8,34.05,False,11.039999999999996,0.8578,0.22699999999999998,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111
260,1i,150.0,8,3.2645,5,34.01,False,3.9899999999999984,1.6026,0.22673333333333331,0.375,0.375,0.125,0.125
265,1i,150.0,8,3.4172,3,32.55,False,2.5399999999999956,1.3287999999999998,0.21699999999999997,0.375,0.25,0.125,0.25
270,1i,150.0,8,1.2149,6,15.39,False,-14.620000000000001,1.2149,0.10260000000000001,0.375,0.25,0.125,0.25
275,1i,150.0,9,2.095,7,19.01,False,-11.0,-1.5162999999999998,0.12673333333333334,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.3333333333333333
280,1i,150.0,10,2.9413,8,31.87,False,1.8599999999999994,-1.5102000000000002,0.21246666666666666,0.3,0.3,0.1,0.3
285,1i,150.0,11,2.3915,8,31.72,False,-2.3299999999999983,0.7245000000000001,0.21146666666666666,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.2727272727272727
290,1i,150.0,12,2.5262,9,45.76,False,11.75,-0.7383000000000002,0.30506666666666665,0.3333333333333333,0.25,0.16666666666666666,0.25
295,1i,150.0,12,1.0086,10,45.76,False,13.21,-2.4086,0.30506666666666665,0.3333333333333333,0.25,0.16666666666666666,0.25
300,1i,150.0,13,1.4474,11,45.76,False,30.369999999999997,0.23249999999999993,0.30506666666666665,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.23076923076923078
305,1i,150.0,14,1.3011,12,45.76,False,26.749999999999996,-0.7939000000000003,0.30506666666666665,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.21428571428571427
310,1i,150.0,14,0.4578,13,52.76,False,20.889999999999997,-2.4835000000000003,0.35173333333333334,0.2857142857142857,0.2857142857142857,0.21428571428571427,0.21428571428571427
315,1i,150.0,15,1.2545,13,52.76,False,21.04,-1.1370000000000002,0.35173333333333334,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.2
320,1i,150.0,14,4.0222,8,52.76,False,7.0,1.496,0.35173333333333334,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.07142857142857142
