timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
205,1i,3,1.3785,1.0,23.04
205,2i,4,13.4756,1.0,402.29
205,3i,4,6.5238,1.0,270.63
205,4i,7,3.8752,15.04,401.81
210,1i,3,0.0003,1.0,23.04
210,2i,4,8.1964,1.0,266.13
210,3i,4,4.3915,1.0,165.85
210,4i,7,3.9101,15.04,267.27
215,1i,3,0.0,1.0,23.04
215,2i,4,6.1785,1.0,135.1
215,3i,3,4.982,56.76,84.52
215,4i,7,3.0191,12.82,146.63
220,1i,4,6.0418,1.0,407.32
220,2i,4,2.8932,1.0,52.23
220,3i,3,3.3253,15.83,60.76
220,4i,8,4.2541,0.58,416.31
225,1i,4,5.9537,1.0,284.56
225,2i,4,0.0006,1.0,33.05
225,3i,4,7.8034,1.02,456.5
225,4i,8,2.9338,0.58,320.76
230,1i,4,6.2307,1.0,166.46
230,2i,3,1.2627,22.23,32.55
230,3i,4,6.9491,1.0,323.55
230,4i,8,2.6768,0.58,231.62
235,1i,4,8.3601,1.0,396.26
235,2i,3,12.346,3.07,375.55
235,3i,5,10.7522,1.0,374.96
235,4i,8,1.6546,0.58,161.32
240,1i,5,9.1342,1.0,434.87
240,2i,1,26.3797,242.92,242.92
240,3i,5,9.1464,1.0,238.98
240,4i,8,1.0555,0.58,110.72
245,1i,4,9.2928,1.0,338.7
245,2i,1,17.9459,129.65,129.65
245,3i,5,5.3339,1.0,125.24
245,4i,8,0.4894,0.58,82.14
250,1i,6,13.3555,1.0,396.48
250,2i,3,19.446,79.64,375.82
250,3i,5,0.9376,1.0,74.73
250,4i,9,2.7472,0.58,383.09
255,1i,6,13.0064,1.0,300.36
255,2i,3,17.7011,77.47,244.01
255,3i,5,0.0003,1.0,72.76
255,4i,9,2.5898,0.58,265.46
260,1i,5,10.5103,1.0,205.13
260,2i,4,16.7161,77.47,483.3
260,3i,6,4.6283,1.0,483.3
260,4i,9,2.1614,0.58,153.65
265,1i,5,5.9886,1.0,123.87
265,2i,4,11.258,36.51,349.7
265,3i,6,4.4592,1.0,348.17
265,4i,9,1.8516,0.58,75.34
270,1i,5,2.0954,1.0,85.38
270,2i,4,7.8302,1.47,213.09
270,3i,6,4.3641,1.0,213.33
270,4i,10,3.0256,0.58,374.43
275,1i,5,1.3335,1.0,81.91
275,2i,4,4.9327,1.0,113.98
275,3i,5,5.0376,1.78,94.4
275,4i,11,4.7237,0.58,456.96
280,1i,5,0.5449,1.0,73.38
280,2i,4,1.2892,1.0,73.27
280,3i,5,7.1482,27.92,480.3
280,4i,10,3.8976,0.58,336.3
285,1i,5,0.0095,1.0,71.52
285,2i,4,0.0581,1.0,68.91
285,3i,4,5.8914,42.72,360.91
285,4i,10,3.8724,0.58,216.04
290,1i,6,4.4786,1.0,456.43
290,2i,4,0.0008,1.0,68.76
290,3i,5,10.2533,42.72,456.1
290,4i,10,3.9216,0.58,455.88
295,1i,6,4.3698,1.0,323.08
295,2i,4,0.0,1.0,68.76
295,3i,5,8.5859,42.72,323.21
295,4i,11,4.8875,0.58,456.7
300,1i,6,4.0953,1.0,192.5
300,2i,4,0.0,1.0,68.76
300,3i,5,8.7301,42.72,189.82
300,4i,11,4.6539,0.58,321.54
305,1i,7,5.1219,1.0,431.66
305,2i,4,0.0,1.0,68.76
305,3i,5,4.8165,2.04,72.76
305,4i,12,8.0492,12.96,429.71
310,1i,7,3.4615,1.0,311.15
310,2i,4,0.0,1.0,68.76
310,3i,5,1.9255,1.0,72.76
310,4i,13,8.7061,1.08,430.59
315,1i,7,3.3361,1.0,189.9
315,2i,4,0.0,1.0,68.76
315,3i,5,0.9732,1.0,72.12
315,4i,13,6.8689,1.0,296.78
320,1i,6,5.6872,7.04,415.39
320,2i,3,0.0,60.76,68.76
320,3i,6,4.7959,1.0,402.57
320,4i,13,3.278,1.0,180.67
325,1i,5,3.8854,9.0,319.62
325,2i,4,6.4961,60.76,404.35
325,3i,7,7.358,1.0,408.43
325,4i,14,3.4247,1.0,402.51
330,1i,5,3.7378,9.0,224.26
330,2i,4,5.3065,60.76,287.16
330,3i,7,6.0353,1.0,289.36
330,4i,14,2.8174,1.0,268.47
335,1i,7,8.9334,9.0,417.99
335,2i,4,4.6028,60.76,195.89
335,3i,8,5.9986,1.0,415.27
335,4i,15,2.37,1.0,418.74
340,1i,7,8.353,9.0,323.85
340,2i,4,3.7513,60.76,114.25
340,3i,9,6.6382,1.0,383.96
340,4i,15,2.4581,1.0,323.86
345,1i,7,6.3537,4.9,228.6
345,2i,4,3.5237,33.89,68.76
345,3i,9,4.551,1.0,276.09
345,4i,15,1.6292,1.0,229.63
350,1i,7,3.4095,1.0,135.15
350,2i,5,5.8038,1.24,483.3
350,3i,9,3.087,1.0,189.21
350,4i,15,1.2648,1.0,136.35
355,1i,6,2.0428,1.0,98.48
355,2i,5,5.3385,1.0,348.12
355,3i,9,2.6234,1.0,117.61
355,4i,15,0.8338,1.0,111.81
360,1i,6,0.8853,1.0,98.48
360,2i,5,5.9522,1.0,215.3
360,3i,9,1.1651,1.0,94.98
360,4i,16,1.5362,1.0,474.59
365,1i,6,0.5789,1.0,98.38
365,2i,5,4.8053,1.0,125.64
365,3i,7,0.247,24.28,91.77
365,4i,14,3.5597,1.0,459.55
370,1i,6,1.321,1.0,94.08
370,2i,5,2.8633,1.0,48.39
370,3i,7,1.5809,3.46,91.77
370,4i,11,3.7364,1.0,343.08
375,1i,6,0.703,1.0,84.0
375,2i,6,4.9139,1.0,483.3
375,3i,6,4.1667,24.71,480.3
375,4i,13,6.6606,1.0,483.3
380,1i,6,0.1145,1.0,78.76
380,2i,6,4.4233,1.0,347.44
380,3i,7,7.3065,24.71,428.27
380,4i,13,5.8898,1.0,358.33
385,1i,6,0.0026,1.0,77.78
385,2i,6,4.2551,1.0,212.4
385,3i,7,7.1757,24.71,292.99
385,4i,13,5.0707,1.0,237.76
390,1i,7,3.7459,1.0,457.08
390,2i,6,2.089,1.0,124.25
390,3i,7,4.6468,24.71,177.75
390,4i,14,4.5991,1.0,457.02
395,1i,7,3.9309,1.0,323.53
395,2i,6,0.2335,1.0,96.28
395,3i,7,2.4681,24.71,116.83
395,4i,14,4.5292,0.63,412.73
400,1i,7,3.3473,1.0,192.53
400,2i,6,0.0,1.0,96.1
400,3i,7,2.3279,10.64,116.81
400,4i,13,4.3326,1.0,307.94
405,1i,7,1.3473,1.0,117.38
405,2i,6,0.0,1.0,96.1
405,3i,7,0.4319,5.01,116.81
405,4i,14,5.0277,1.0,432.9
410,1i,7,3.7081,6.55,389.56
410,2i,4,0.0,40.05,96.1
410,3i,7,0.4052,5.0,116.81
410,4i,14,4.0432,1.0,310.9
415,1i,6,3.099,50.76,288.56
415,2i,4,0.0,40.05,96.1
415,3i,7,0.6023,5.0,115.89
415,4i,14,3.2364,1.0,190.95
420,1i,6,3.2459,50.76,199.94
420,2i,5,5.5045,40.05,455.78
420,3i,9,6.3698,5.0,457.0
420,4i,15,3.5322,1.0,433.06
425,1i,6,2.8045,50.76,116.53
425,2i,5,5.3005,40.05,323.8
425,3i,9,5.9125,5.0,324.06
425,4i,15,2.3261,1.0,311.02
430,1i,6,2.4031,34.27,105.48
430,2i,5,4.5004,40.05,197.37
430,3i,9,4.5551,5.0,200.28
430,4i,15,1.8281,1.0,188.54
435,1i,7,3.9436,1.0,402.18
435,2i,7,9.7043,40.05,408.29
435,3i,10,5.2104,5.0,403.33
435,4i,16,2.2825,1.0,416.21
440,1i,7,3.9068,1.0,267.54
440,2i,7,8.9257,31.9,289.36
440,3i,10,3.64,5.0,268.89
440,4i,16,1.5704,1.0,320.48
445,1i,7,2.2349,1.0,166.13
445,2i,7,6.2927,1.0,174.33
445,3i,10,1.6676,5.0,160.24
445,4i,16,1.193,1.0,224.97
450,1i,8,4.1373,1.0,374.11
450,2i,8,7.4277,1.0,383.58
450,3i,11,1.9727,5.0,415.75
450,4i,17,2.4374,1.0,401.72
455,1i,8,3.8938,1.0,241.54
455,2i,8,3.9992,1.0,262.7
455,3i,11,2.1205,5.0,319.77
455,4i,13,3.2407,1.0,270.12
460,1i,8,1.9515,1.0,155.31
460,2i,8,2.1827,1.0,160.26
460,3i,10,2.0003,5.0,226.7
460,4i,11,2.3366,1.0,177.5
465,1i,8,0.4913,1.0,131.77
465,2i,8,0.8351,1.0,120.22
465,3i,9,1.7901,5.0,144.8
465,4i,10,1.4401,1.0,119.81
470,1i,8,0.4231,1.0,123.92
470,2i,8,0.5365,1.0,110.61
470,3i,9,1.7344,5.0,119.1
470,4i,10,1.75,1.0,119.81
475,1i,9,2.8268,1.0,480.3
475,2i,9,3.2338,1.0,483.3
475,3i,9,2.7778,5.0,480.3
475,4i,11,4.04,1.0,480.3
480,1i,9,2.6434,1.0,360.55
480,2i,9,2.9641,1.0,350.48
480,3i,9,2.7151,5.0,361.11
480,4i,11,3.8355,1.0,380.56
485,1i,9,2.7487,1.0,239.57
485,2i,9,3.0846,1.0,215.71
485,3i,9,3.1089,0.4,242.14
485,4i,10,4.5506,1.39,286.05
490,1i,9,2.4587,1.0,119.52
490,2i,10,4.7094,1.0,483.3
490,3i,8,5.9534,33.97,483.3
490,4i,10,6.0221,14.19,483.3
495,1i,9,1.1734,1.0,119.52
495,2i,10,3.4694,1.0,350.62
495,3i,8,5.6277,24.71,348.39
495,4i,10,5.5699,5.18,349.8
500,1i,8,0.1103,25.06,119.52
500,2i,8,3.1045,19.0,219.78
500,3i,8,3.8241,7.74,221.81
500,4i,10,2.874,5.0,230.0
505,1i,8,0.5057,9.29,119.52
505,2i,7,2.2474,19.0,129.68
505,3i,8,1.724,5.0,149.75
505,4i,10,2.325,5.0,162.53
