timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
215,1i,3,3.6912,4.1,49.23
215,2i,3,4.47,0.31,131.02
215,3i,0,,,
215,4i,1,0.6611,18.38,18.38
220,1i,3,1.2999,4.1,20.82
220,2i,5,12.6183,0.31,374.81
220,3i,0,,,
220,4i,1,3.0031,4.09,4.09
225,1i,3,0.0008,4.1,20.82
225,2i,5,11.2816,0.31,245.69
225,3i,0,,,
225,4i,1,0.0009,1.0,1.0
230,1i,3,1.7849,1.71,20.82
230,2i,5,8.1501,0.31,136.58
230,3i,0,,,
230,4i,1,0.0,1.0,1.0
235,1i,2,0.0,4.1,20.82
235,2i,6,8.8612,0.31,483.3
235,3i,0,,,
235,4i,1,0.0,1.0,1.0
240,1i,2,0.0,4.1,20.82
240,2i,5,5.2604,0.31,350.85
240,3i,0,,,
240,4i,1,0.0,1.0,1.0
245,1i,2,0.0,4.1,20.82
245,2i,5,5.4648,0.31,215.38
245,3i,0,,,
245,4i,1,0.0,1.0,1.0
250,1i,2,0.0,4.1,20.82
250,2i,6,7.4107,0.31,402.15
250,3i,0,,,
250,4i,1,0.0,1.0,1.0
255,1i,2,0.0,4.1,20.82
255,2i,6,5.0794,0.31,268.6
255,3i,0,,,
255,4i,1,0.0,1.0,1.0
260,1i,1,0.0,20.82,20.82
260,2i,5,4.5398,25.35,139.18
260,3i,0,,,
260,4i,1,0.0,1.0,1.0
265,1i,1,2.3744,6.22,6.22
265,2i,5,3.7779,17.37,56.71
265,3i,0,,,
265,4i,1,0.0,1.0,1.0
270,1i,2,13.1692,4.76,375.94
270,2i,5,1.6984,12.14,48.29
270,3i,0,,,
270,4i,2,13.3858,1.0,376.84
275,1i,3,17.1765,4.76,456.22
275,2i,6,4.2273,12.0,455.63
275,3i,1,27.5024,455.8,455.8
275,4i,2,13.1975,1.0,242.52
280,1i,3,15.3614,4.76,336.42
280,2i,6,3.904,12.0,335.03
280,3i,1,27.2499,320.91,320.91
280,4i,2,12.397,1.0,109.55
285,1i,4,16.0896,4.76,483.3
285,2i,6,4.0215,12.0,212.87
285,3i,1,27.143,186.46,186.46
285,4i,2,8.3361,1.0,15.83
290,1i,4,12.1067,4.76,346.97
290,2i,6,2.8042,12.0,105.38
290,3i,1,19.127,67.13,67.13
290,4i,1,0.0,1.0,1.0
295,1i,5,12.1173,4.76,456.35
295,2i,6,0.6839,12.0,60.98
295,3i,1,6.3288,10.66,10.66
295,4i,1,0.0,1.0,1.0
300,1i,5,9.0456,4.76,321.37
300,2i,6,0.0,12.0,57.76
300,3i,1,0.0012,5.0,5.0
300,4i,1,0.0,1.0,1.0
305,1i,5,6.932,4.76,186.29
305,2i,6,0.0,12.0,57.76
305,3i,0,,,
305,4i,0,,,
310,1i,5,3.5516,4.76,74.56
310,2i,6,0.0,12.0,57.76
310,3i,0,,,
310,4i,0,,,
315,1i,5,0.9312,4.76,30.76
315,2i,7,2.7548,12.0,436.96
315,3i,0,,,
315,4i,0,,,
320,1i,4,1.7536,4.76,30.76
320,2i,7,3.0681,6.52,342.96
320,3i,1,19.44,474.59,474.59
320,4i,0,,,
325,1i,2,0.0,4.76,30.76
325,2i,6,3.1744,12.0,249.8
325,3i,1,19.0675,381.08,381.08
325,4i,0,,,
330,1i,2,0.0,4.76,30.76
330,2i,6,3.0491,12.0,156.17
330,3i,1,19.1439,286.59,286.59
330,4i,0,,,
