timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m,true_queue_length_m,true_queue_beyond_camera
0,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_high_demand,train,development,0.25,,,0.0,,,,,,,0.0,0.0,,,0.0,False
5,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_high_demand,train,development,0.25,,,0.0,,,0.0,4.0,True,,0.0,0.0,,,0.0,False
10,1i,150.0,0,0.0,0,0.0,False,0,,,,scenario_high_demand,train,development,0.25,,,0.0,,,0.0,9.0,True,,0.0,0.0,,,0.0,False
15,1i,150.0,3,25.079,0,0.0,False,0,,,,scenario_high_demand,train,development,0.25,,,0.0,,,0.0,14.0,True,,20.0,1805.688,,,0.0,False
20,1i,150.0,3,13.5306,0,0.0,False,0,,,,scenario_high_demand,train,development,0.25,,,0.0,,,0.0,19.0,True,,20.0,974.2032,,,0.0,False
25,1i,150.0,3,0.5526,2,1.0,False,0,,,,scenario_high_demand,train,development,0.25,,,0.0066666666666666,,,0.0,24.0,True,,20.0,39.7872,,,1.0,False
30,1i,150.0,3,0.0,3,1.0,False,0,,,,scenario_high_demand,train,development,0.25,1.0,0.0,0.0066666666666666,0.0,,1.0,4.0,False,5.0,20.0,0.0,0.0333333333333333,,1.0,False
35,1i,150.0,5,10.6083,3,1.0,False,0,,,,scenario_high_demand,train,development,0.25,1.0,10.6083,0.0066666666666666,0.0,,2.0,2.0,True,,33.333333333333336,1272.996,0.0333333333333333,,1.0,False
40,1i,150.0,6,7.8864,3,1.0,False,0,,,,scenario_high_demand,train,development,0.25,1.0,7.8864,0.0066666666666666,0.0,,3.0,1.0,False,5.0,40.0,1135.6416,0.0333333333333333,,1.0,False
45,1i,150.0,6,1.2331,3,1.0,False,2,26.8103,401.88,429.74,scenario_high_demand,train,development,0.25,1.0,-23.8459,0.0066666666666666,2.0,,3.0,6.0,False,10.0,40.0,177.56640000000002,0.0333333333333333,,1.0,False
50,1i,150.0,2,0.0,2,5.0,False,2,27.5331,265.67,296.98,scenario_high_demand,train,development,0.25,5.0,-13.5306,0.0333333333333333,2.0,,4.0,4.0,False,15.0,13.333333333333334,0.0,0.1666666666666666,,5.0,False
55,1i,150.0,3,8.69,2,5.0,False,2,26.4959,130.39,161.65,scenario_high_demand,train,development,0.25,4.0,8.1374,0.0333333333333333,2.0,,4.0,9.0,False,20.0,20.0,625.68,0.1333333333333333,,5.0,False
60,1i,150.0,5,10.2897,2,5.0,False,2,17.4342,29.98,53.04,scenario_high_demand,train,development,0.25,4.0,10.2897,0.0333333333333333,2.0,,4.0,14.0,False,25.0,33.333333333333336,1234.764,0.1333333333333333,,5.0,False
