timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,queue_length_change_30s,speed_change_30s,visible_occupancy_fraction,visible_bike_frac,visible_car_frac,visible_hgv_frac,visible_bus_frac
0,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,0.0,0.0,0.0
5,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,0.0,0.0,0.0
10,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,0.0,0.0,0.0
15,1i,150.0,3,25.6295,0,0.0,False,,,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
20,1i,150.0,3,13.4115,0,0.0,False,,,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
25,1i,150.0,3,0.719,2,1.0,False,,,0.006666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.0
30,1i,150.0,4,5.6565,3,1.0,False,1.0,5.6565,0.006666666666666667,0.75,0.25,0.0,0.0
35,1i,150.0,4,2.1565,3,1.0,False,1.0,2.1565,0.006666666666666667,0.75,0.25,0.0,0.0
40,1i,150.0,4,0.0197,4,5.08,False,5.08,0.0197,0.03386666666666667,0.75,0.25,0.0,0.0
45,1i,150.0,5,3.967,4,5.0,False,5.0,-21.6625,0.03333333333333333,0.6,0.4,0.0,0.0
50,1i,150.0,2,5.5991,1,1.0,False,1.0,-7.8124,0.006666666666666667,0.5,0.5,0.0,0.0
55,1i,150.0,4,18.2129,1,1.0,False,0.0,17.4939,0.006666666666666667,0.5,0.5,0.0,0.0
60,1i,150.0,4,10.4682,1,1.0,False,0.0,4.811699999999999,0.006666666666666667,0.5,0.5,0.0,0.0
65,1i,150.0,2,0.073,1,1.0,False,0.0,-2.0835,0.006666666666666667,1.0,0.0,0.0,0.0
70,1i,150.0,3,7.6893,2,5.0,False,-0.08000000000000007,7.6696,0.03333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0
75,1i,150.0,3,3.2904,2,5.0,False,0.0,-0.6766000000000001,0.03333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0
80,1i,150.0,2,13.4733,0,0.0,False,-1.0,7.8742,0.0,0.5,0.5,0.0,0.0
85,1i,150.0,2,7.1302,1,1.0,False,0.0,-11.0827,0.006666666666666667,0.5,0.5,0.0,0.0
90,1i,150.0,2,0.6189,1,1.0,False,0.0,-9.8493,0.006666666666666667,0.5,0.5,0.0,0.0
95,1i,150.0,4,10.9141,2,8.0,False,7.0,10.841099999999999,0.05333333333333334,0.75,0.25,0.0,0.0
100,1i,150.0,5,7.2381,2,8.0,False,3.0,-0.45120000000000005,0.05333333333333334,0.6,0.2,0.2,0.0
105,1i,150.0,5,2.3257,4,12.02,False,7.02,-0.9647000000000001,0.08013333333333333,0.6,0.2,0.2,0.0
110,1i,150.0,5,0.0,5,12.0,False,12.0,-13.4733,0.08,0.6,0.2,0.2,0.0
115,1i,150.0,6,2.4908,5,12.0,False,11.0,-4.6394,0.08,0.5,0.16666666666666666,0.3333333333333333,0.0
120,1i,150.0,7,4.483,5,12.0,False,11.0,3.8640999999999996,0.08,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0
