timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m,q_u_cheng_veh_per_hour,k_cp1_cheng_veh_per_km,cheng_t_cp2_s,cheng_l_cp2_m,max_queue_length_cheng_m,cheng_t_cp3_s
105,1i,150.0,5,5.2986,2,1.0,False,1,0.0,1.0,1.0,scenario_normal_balanced,train,development,0.11,-4.0,-5.049199999999999,0.006666666666666667,-2.0,-72.23,0.0,14.0,True,,33.333333333333336,635.8320000000001,-0.13333333333333333,,12.369566511627907,5.696161245426611,83.0,1.001,83.33645170154264,79.0
110,1i,150.0,5,1.2012,4,15.04,False,1,0.0,1.0,1.0,scenario_normal_balanced,train,development,0.11,15.04,-6.923500000000001,0.10026666666666666,0.0,-6.47,0.0,19.0,True,,33.333333333333336,144.144,0.5013333333333333,,12.369566511627907,5.696161245426611,83.0,1.001,83.33645170154264,79.0
115,1i,150.0,5,0.0,5,15.04,False,1,0.0,1.0,1.0,scenario_normal_balanced,train,development,0.11,14.04,0.0,0.10026666666666666,0.0,0.0,0.0,24.0,True,,33.333333333333336,0.0,0.46799999999999997,,12.369566511627907,5.696161245426611,83.0,1.001,83.33645170154264,79.0
120,1i,150.0,5,0.0,5,15.04,False,1,0.0,1.0,1.0,scenario_normal_balanced,train,development,0.11,14.04,0.0,0.10026666666666666,0.0,0.0,1.0,4.0,False,0,33.333333333333336,0.0,0.46799999999999997,,,,120.0,1.001,,
125,1i,150.0,8,7.9333,5,15.04,False,1,0.0,1.0,1.0,scenario_normal_balanced,train,development,0.11,14.04,-0.14810000000000034,0.10026666666666666,0.0,0.0,2.0,2.0,True,,53.333333333333336,1523.1936,0.46799999999999997,,,,120.0,1.001,,
130,1i,150.0,8,3.5515,5,15.04,False,1,0.0,1.0,1.0,scenario_normal_balanced,train,development,0.11,14.04,-4.3853,0.10026666666666666,0.0,0.0,3.0,1.0,False,0,53.333333333333336,681.888,0.46799999999999997,,,,130.0,1.001,,
135,1i,150.0,8,0.2748,6,22.04,False,1,0.0,1.0,1.0,scenario_normal_balanced,train,development,0.11,21.04,-5.0238000000000005,0.14693333333333333,0.0,0.0,3.0,6.0,False,5,53.333333333333336,52.7616,0.7013333333333333,,,,130.0,1.001,,
140,1i,150.0,4,1.0568,2,13.71,False,1,24.2685,432.68,432.68,scenario_normal_balanced,train,development,0.11,-1.3299999999999983,-0.14440000000000008,0.09140000000000001,0.0,431.68,4.0,4.0,False,10,26.666666666666668,101.4528,-0.04433333333333327,,,,130.0,1.001,,137.0
145,1i,150.0,2,0.0,2,13.71,False,1,24.8948,312.98,312.98,scenario_normal_balanced,train,development,0.11,-1.3299999999999983,0.0,0.09140000000000001,0.0,311.98,4.0,9.0,False,15,13.333333333333334,0.0,-0.04433333333333327,,,,130.0,1.001,,137.0
150,1i,150.0,3,7.304,2,13.71,False,1,23.4006,192.32,192.32,scenario_normal_balanced,train,development,0.11,-1.3299999999999983,7.304,0.09140000000000001,0.0,191.32,4.0,14.0,False,20,20.0,525.888,-0.04433333333333327,,,,130.0,1.001,,137.0
155,1i,150.0,4,10.2618,2,13.71,False,1,21.8848,73.81,73.81,scenario_normal_balanced,train,development,0.11,-1.3299999999999983,2.328499999999999,0.09140000000000001,0.0,72.81,4.0,19.0,False,25,26.666666666666668,985.1328,-0.04433333333333327,,,,130.0,1.001,,137.0
