timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,queue_length_change_30s,speed_change_30s,visible_occupancy_fraction,visible_bike_frac,visible_car_frac,visible_hgv_frac,visible_bus_frac
0,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,0.0,0.0,0.0
5,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,0.0,0.0,0.0
10,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,0.0,0.0,0.0
15,1i,150.0,0,0.0,0,0.0,False,,,0.0,0.0,0.0,0.0,0.0
20,1i,150.0,3,18.672,0,0.0,False,,,0.0,0.0,0.0,1.0,0.0
25,1i,150.0,3,14.6274,0,0.0,False,,,0.0,0.0,0.0,1.0,0.0
30,1i,150.0,3,0.0,0,0.0,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,1i,150.0,4,5.9575,3,1.0,False,1.0,5.9575,0.006666666666666667,0.0,0.25,0.75,0.0
40,1i,150.0,4,2.9954,3,1.0,False,1.0,2.9954,0.006666666666666667,0.0,0.25,0.75,0.0
45,1i,150.0,4,0.0303,4,13.78,False,13.78,0.0303,0.09186666666666667,0.0,0.25,0.75,0.0
50,1i,150.0,2,8.2707,1,1.0,False,1.0,-10.4013,0.006666666666666667,0.5,0.0,0.5,0.0
55,1i,150.0,2,11.7947,1,1.0,False,1.0,-2.832699999999999,0.006666666666666667,0.0,0.5,0.5,0.0
60,1i,150.0,2,5.992,1,1.0,False,1.0,5.992,0.006666666666666667,0.0,0.5,0.5,0.0
65,1i,150.0,2,10.039,1,1.0,False,0.0,4.0815,0.006666666666666667,0.0,0.5,0.5,0.0
70,1i,150.0,2,3.039,1,1.0,False,0.0,0.04360000000000008,0.006666666666666667,0.0,0.5,0.5,0.0
75,1i,150.0,3,5.8898,2,13.72,False,-0.05999999999999872,5.8595,0.09146666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
80,1i,150.0,3,9.8536,0,0.0,False,-1.0,1.5829000000000004,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
85,1i,150.0,2,5.4718,1,1.0,False,0.0,-6.322900000000001,0.006666666666666667,0.5,0.5,0.0,0.0
90,1i,150.0,3,9.1636,2,1.0,False,0.0,3.1716000000000006,0.006666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.0
95,1i,150.0,3,4.5249,2,1.0,False,0.0,-5.5141,0.006666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.0
100,1i,150.0,3,0.6119,2,1.0,False,0.0,-2.4271000000000003,0.006666666666666667,0.6666666666666666,0.3333333333333333,0.0,0.0
105,1i,150.0,3,0.0003,3,5.0,False,-8.72,-5.8895,0.03333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0
110,1i,150.0,5,9.8064,3,5.0,False,5.0,-0.04720000000000013,0.03333333333333333,0.4,0.6,0.0,0.0
115,1i,150.0,6,7.0443,3,5.0,False,4.0,1.5724999999999998,0.03333333333333333,0.3333333333333333,0.5,0.16666666666666666,0.0
