timestamp,approach_edge,true_queue_length_m,true_queue_beyond_camera
1400,1i,198.74,True
1405,1i,202.77,True
1410,1i,202.74,True
1415,1i,202.74,True
1420,1i,202.74,True
1425,1i,202.74,True
1430,1i,209.75,True
1435,1i,209.74,True
1440,1i,209.74,True
1445,1i,222.45,True
1450,1i,222.45,True
1455,1i,222.45,True
1460,1i,221.79,True
1465,1i,160.96,True
1470,1i,191.19,True
1475,1i,214.7,True
1480,1i,214.45,True
1485,1i,214.45,True
1490,1i,218.45,True
1495,1i,218.45,True
1500,1i,218.45,True
1505,1i,218.45,True
1510,1i,222.45,True
1515,1i,222.45,True
1520,1i,222.45,True
1525,1i,222.45,True
1530,1i,229.45,True
1535,1i,229.45,True
1540,1i,229.45,True
1545,1i,229.45,True
1550,1i,236.42,True
1555,1i,234.62,True
1560,1i,163.62,True
1565,1i,186.96,True
1570,1i,206.2,True
1575,1i,216.89,True
1580,1i,216.74,True
1585,1i,216.74,True
1590,1i,216.74,True
1595,1i,216.74,True
1600,1i,223.77,True
1605,1i,223.74,True
1610,1i,223.74,True
1615,1i,237.78,True
1620,1i,237.78,True
1625,1i,237.78,True
1630,1i,237.78,True
1635,1i,244.78,True
1640,1i,244.77,True
1645,1i,243.85,True
1650,1i,240.09,True
1655,1i,186.35,True
1660,1i,204.26,True
1665,1i,229.17,True
1670,1i,229.07,True
1675,1i,229.07,True
1680,1i,229.07,True
1685,1i,236.07,True
1690,1i,236.07,True
1695,1i,236.07,True
1700,1i,250.11,True
1705,1i,250.11,True
1710,1i,250.11,True
1715,1i,250.11,True
1720,1i,254.11,True
1725,1i,254.11,True
1730,1i,254.11,True
1735,1i,253.99,True
1740,1i,251.89,True
1745,1i,256.51,True
1750,1i,242.91,True
1755,1i,247.52,True
1760,1i,259.87,True
1765,1i,259.79,True
1770,1i,259.79,True
1775,1i,259.79,True
1780,1i,263.79,True
1785,1i,263.79,True
1790,1i,263.79,True
1795,1i,263.79,True
1800,1i,267.79,True
1805,1i,267.79,True
1810,1i,267.79,True
1815,1i,267.79,True
1820,1i,267.79,True
1825,1i,271.79,True
1830,1i,271.62,True
1835,1i,269.07,True
1840,1i,226.02,True
1845,1i,258.71,True
1850,1i,264.09,True
1855,1i,263.79,True
1860,1i,263.79,True
1865,1i,267.79,True
1870,1i,267.79,True
1875,1i,267.79,True
1880,1i,267.79,True
1885,1i,267.79,True
1890,1i,267.79,True
1895,1i,271.79,True
1900,1i,271.79,True
1905,1i,285.83,True
1910,1i,285.83,True
1915,1i,285.83,True
1920,1i,285.78,True
1925,1i,289.17,True
1930,1i,286.63,True
1935,1i,224.51,True
1940,1i,231.58,True
1945,1i,260.78,True
1950,1i,268.54,True
1955,1i,268.41,True
1960,1i,268.41,True
1965,1i,268.41,True
1970,1i,272.41,True
1975,1i,272.41,True
1980,1i,272.41,True
1985,1i,272.41,True
1990,1i,279.41,True
1995,1i,279.41,True
2000,1i,279.41,True
2005,1i,279.41,True
2010,1i,283.42,True
2015,1i,283.26,True
2020,1i,281.73,True
2025,1i,224.85,True
2030,1i,251.28,True
2035,1i,265.91,True
2040,1i,269.51,True
2045,1i,269.42,True
2050,1i,276.43,True
2055,1i,276.41,True
2060,1i,276.41,True
2065,1i,276.41,True
2070,1i,276.41,True
2075,1i,276.41,True
2080,1i,280.41,True
2085,1i,280.41,True
2090,1i,280.41,True
2095,1i,280.41,True
2100,1i,294.45,True
2105,1i,294.42,True
2110,1i,292.91,True
2115,1i,303.54,True
2120,1i,256.18,True
2125,1i,281.26,True
2130,1i,293.26,True
2135,1i,293.13,True
2140,1i,293.12,True
2145,1i,297.13,True
2150,1i,297.13,True
2155,1i,311.17,True
2160,1i,311.17,True
2165,1i,311.17,True
2170,1i,311.17,True
2175,1i,315.2,True
2180,1i,315.17,True
2185,1i,315.17,True
2190,1i,315.17,True
2195,1i,315.17,True
2200,1i,315.06,True
2205,1i,318.53,True
2210,1i,315.12,True
2215,1i,300.79,True
2220,1i,307.2,True
2225,1i,319.49,True
2230,1i,319.19,True
2235,1i,319.17,True
2240,1i,331.88,True
2245,1i,331.88,True
2250,1i,331.88,True
2255,1i,331.88,True
2260,1i,338.88,True
2265,1i,338.88,True
2270,1i,338.88,True
2275,1i,338.88,True
2280,1i,345.88,True
2285,1i,345.88,True
2290,1i,345.88,True
2295,1i,345.72,True
2300,1i,352.16,True
2305,1i,349.07,True
2310,1i,336.83,True
2315,1i,332.39,True
2320,1i,338.04,True
2325,1i,341.91,True
2330,1i,341.88,True
2335,1i,341.88,True
2340,1i,341.88,True
2345,1i,345.9,True
2350,1i,345.88,True
2355,1i,345.88,True
2360,1i,345.88,True
2365,1i,358.59,True
2370,1i,358.59,True
2375,1i,358.59,True
2380,1i,358.59,True
2385,1i,365.55,True
2390,1i,364.94,True
2395,1i,362.41,True
2400,1i,359.11,True
2405,1i,354.9,True
2410,1i,356.94,True
2415,1i,356.58,True
2420,1i,356.55,True
2425,1i,356.55,True
2430,1i,363.55,True
2435,1i,363.55,True
2440,1i,363.55,True
2445,1i,363.55,True
2450,1i,367.55,True
2455,1i,367.55,True
2460,1i,367.55,True
2465,1i,367.55,True
2470,1i,371.55,True
2475,1i,371.55,True
2480,1i,371.48,True
2485,1i,370.46,True
2490,1i,372.89,True
2495,1i,363.61,True
2500,1i,352.44,True
2505,1i,359.4,True
2510,1i,362.1,True
2515,1i,361.86,True
2520,1i,361.85,True
2525,1i,361.85,True
2530,1i,361.85,True
2535,1i,368.88,True
2540,1i,368.85,True
2545,1i,368.85,True
2550,1i,382.9,True
2555,1i,382.89,True
2560,1i,382.89,True
2565,1i,381.58,True
2570,1i,344.73,True
2575,1i,369.41,True
2580,1i,371.08,True
2585,1i,321.39,True
2590,1i,330.96,True
2595,1i,360.46,True
2600,1i,359.24,True
2605,1i,359.18,True
2610,1i,359.18,True
2615,1i,363.18,True
2620,1i,363.18,True
2625,1i,363.18,True
2630,1i,363.18,True
2635,1i,367.18,True
2640,1i,367.18,True
2645,1i,367.18,True
2650,1i,367.18,True
2655,1i,367.18,True
2660,1i,371.17,True
2665,1i,371.0,True
2670,1i,370.13,True
2675,1i,369.08,True
2680,1i,372.19,True
2685,1i,371.67,True
2690,1i,371.18,True
2695,1i,370.73,True
2700,1i,377.55,True
2705,1i,377.49,True
2710,1i,377.48,True
2715,1i,377.48,True
2720,1i,384.48,True
2725,1i,384.48,True
2730,1i,384.48,True
2735,1i,384.48,True
2740,1i,388.49,True
2745,1i,388.48,True
2750,1i,388.48,True
2755,1i,388.45,True
2760,1i,395.3,True
2765,1i,393.91,True
2770,1i,391.55,True
2775,1i,378.84,True
2780,1i,383.37,True
2785,1i,388.72,True
2790,1i,388.28,True
2795,1i,388.19,True
2800,1i,388.18,True
2805,1i,400.89,True
2810,1i,400.89,True
2815,1i,400.89,True
2820,1i,400.89,True
2825,1i,400.89,True
2830,1i,407.89,True
2835,1i,364.02,True
2840,1i,398.24,True
2845,1i,384.82,True
2850,1i,404.66,True
2855,1i,401.28,True
2860,1i,372.42,True
2865,1i,376.22,True
2870,1i,393.02,True
2875,1i,392.01,True
2880,1i,391.93,True
2885,1i,391.93,True
2890,1i,395.93,True
2895,1i,395.93,True
2900,1i,395.93,True
2905,1i,395.93,True
2910,1i,402.93,True
2915,1i,402.93,True
2920,1i,402.93,True
2925,1i,402.93,True
2930,1i,409.93,True
2935,1i,409.93,True
2940,1i,409.73,True
2945,1i,408.62,True
2950,1i,407.49,True
2955,1i,419.22,True
2960,1i,417.84,True
2965,1i,416.04,True
2970,1i,429.54,True
2975,1i,429.22,True
2980,1i,429.17,True
2985,1i,429.17,True
2990,1i,433.17,True
2995,1i,433.17,True
3000,1i,433.17,True
3005,1i,433.17,True
3010,1i,437.18,True
3015,1i,437.17,True
3020,1i,437.17,True
3025,1i,437.17,True
3030,1i,441.18,True
3035,1i,440.71,True
3040,1i,439.29,True
3045,1i,436.76,True
3050,1i,433.76,True
3055,1i,439.41,True
3060,1i,438.82,True
3065,1i,438.66,True
3070,1i,438.65,True
3075,1i,451.36,True
3080,1i,451.36,True
3085,1i,449.9,True
3090,1i,447.42,True
3095,1i,450.53,True
3100,1i,447.51,True
3105,1i,444.49,True
3110,1i,372.7,True
3115,1i,407.93,True
3120,1i,438.58,True
3125,1i,436.51,True
3130,1i,433.26,True
3135,1i,389.38,True
3140,1i,429.53,True
3145,1i,427.62,True
3150,1i,427.36,True
3155,1i,427.35,True
3160,1i,431.35,True
3165,1i,431.35,True
3170,1i,431.35,True
3175,1i,431.35,True
3180,1i,435.35,True
3185,1i,435.35,True
3190,1i,435.35,True
3195,1i,435.35,True
3200,1i,439.35,True
3205,1i,439.35,True
3210,1i,439.34,True
3215,1i,439.22,True
3220,1i,442.95,True
3225,1i,442.49,True
3230,1i,441.99,True
3235,1i,441.41,True
3240,1i,444.78,True
3245,1i,443.89,True
3250,1i,442.58,True
3255,1i,441.82,True
3260,1i,445.62,True
3265,1i,445.5,True
3270,1i,445.49,True
3275,1i,445.49,True
3280,1i,445.49,True
3285,1i,449.49,True
3290,1i,449.49,True
3295,1i,449.49,True
3300,1i,449.49,True
3305,1i,453.49,True
3310,1i,453.47,True
3315,1i,453.3,True
3320,1i,452.92,True
3325,1i,456.7,True
3330,1i,456.45,True
3335,1i,456.36,True
3340,1i,456.35,True
3345,1i,463.35,True
3350,1i,463.35,True
3355,1i,463.35,True
3360,1i,463.35,True
3365,1i,476.06,True
3370,1i,476.06,True
3375,1i,476.06,True
3380,1i,476.06,True
3385,1i,480.06,True
3390,1i,480.06,True
3395,1i,480.06,True
3400,1i,480.03,True
