timestamp,approach_edge,vehicle_count,mean_speed_mps,density_veh_per_km,flow_veh_per_hour,queue_count,queue_length_m,queue_beyond_camera
135,1i,12,5.7243,24.7474,0.0,9,19.04,False
135,2i,13,5.8015,26.8097,0.0,9,22.04,False
135,3i,6,12.5258,12.3737,0.0,3,1.01,False
135,4i,7,9.53,14.436,0.0,4,14.52,False
140,1i,7,9.4993,14.436,3600.0,3,9.0,False
140,2i,10,7.8844,20.6228,2160.0,4,23.04,False
140,3i,6,11.1071,12.3737,0.0,3,1.0,False
140,4i,7,9.4196,14.436,0.0,4,14.52,False
145,1i,7,10.5186,14.436,720.0,3,9.0,False
145,2i,8,7.7486,16.4982,2160.0,4,23.04,False
145,3i,7,9.1645,14.436,0.0,3,1.0,False
145,4i,8,8.8901,16.4982,0.0,4,14.52,False
150,1i,7,12.2533,14.436,1440.0,3,9.0,False
150,2i,9,8.18,18.5605,720.0,4,23.04,False
150,3i,9,9.739,18.5605,0.0,4,15.05,False
150,4i,10,9.0653,20.6228,0.0,5,14.52,False
155,1i,7,11.1025,14.436,0.0,3,9.0,False
155,2i,8,8.0449,16.4982,720.0,5,35.76,False
155,3i,9,8.9808,18.5605,0.0,6,15.04,False
155,4i,10,7.7697,20.6228,0.0,6,14.52,False
160,1i,7,9.8036,14.436,0.0,4,13.01,False
160,2i,8,7.8757,16.4982,0.0,5,35.76,False
160,3i,9,8.0327,18.5605,0.0,6,15.04,False
160,4i,10,6.8914,20.6228,0.0,7,21.53,False
165,1i,8,9.3202,16.4982,0.0,4,13.0,False
165,2i,9,8.3989,18.5605,0.0,5,35.76,False
165,3i,10,5.5127,20.6228,0.0,6,15.04,False
165,4i,11,6.3257,22.6851,0.0,7,21.52,False
170,1i,8,11.5647,16.4982,1440.0,2,13.0,False
170,2i,10,10.3728,20.6228,720.0,3,35.76,False
170,3i,12,6.702,24.7474,0.0,7,19.04,False
170,4i,13,6.8253,26.8097,0.0,8,21.52,False
175,1i,7,11.6639,14.436,720.0,2,1.0,False
175,2i,10,9.1447,20.6228,0.0,2,41.3,False
175,3i,12,5.6742,24.7474,0.0,9,19.04,False
175,4i,13,6.1198,26.8097,0.0,10,34.23,False
180,1i,7,10.8234,14.436,0.0,4,13.71,False
180,2i,10,6.7609,20.6228,0.0,5,9.04,False
180,3i,12,5.6645,24.7474,0.0,9,19.04,False
180,4i,13,5.6897,26.8097,0.0,10,34.23,False
185,1i,8,9.2672,16.4982,0.0,4,13.71,False
185,2i,11,6.9628,22.6851,0.0,7,28.73,False
185,3i,9,9.224,18.5605,2880.0,3,12.0,False
185,4i,9,8.6435,18.5605,3600.0,4,34.23,False
190,1i,10,9.0216,20.6228,0.0,4,13.71,False
190,2i,13,6.7294,26.8097,0.0,8,28.72,False
190,3i,9,11.5714,18.5605,1440.0,3,12.0,False
190,4i,9,10.1666,18.5605,1440.0,4,34.23,False
195,1i,10,7.942,20.6228,0.0,7,20.71,False
195,2i,13,5.4216,26.8097,0.0,10,32.72,False
195,3i,7,10.5442,14.436,1440.0,4,16.0,False
195,4i,8,9.8235,16.4982,720.0,5,41.24,False
200,1i,10,7.3078,20.6228,0.0,7,20.71,False
200,2i,13,4.8021,26.8097,0.0,10,32.72,False
200,3i,7,9.5998,14.436,0.0,4,16.0,False
200,4i,8,8.8596,16.4982,0.0,5,41.23,False
205,1i,11,6.5676,22.6851,0.0,7,20.71,False
205,2i,14,5.4645,28.8719,0.0,10,32.72,False
205,3i,8,10.6423,16.4982,0.0,4,16.0,False
205,4i,9,8.6058,18.5605,0.0,5,41.23,False
210,1i,11,3.3363,22.6851,0.0,8,20.71,False
210,2i,14,3.5798,28.8719,0.0,11,32.72,False
210,3i,7,7.7515,14.436,720.0,4,16.0,False
210,4i,8,4.5998,16.4982,720.0,5,41.23,False
215,1i,13,5.0576,26.8097,0.0,9,24.72,False
215,2i,16,5.5319,32.9965,0.0,12,32.72,False
215,3i,8,11.3692,16.4982,720.0,2,20.01,False
215,4i,9,7.9756,18.5605,720.0,4,45.23,False
220,1i,13,4.7626,26.8097,0.0,10,24.71,False
220,2i,16,4.648,32.9965,0.0,12,32.72,False
220,3i,6,12.1388,12.3737,1440.0,1,1.0,False
220,4i,8,9.3998,16.4982,720.0,1,1.0,False
225,1i,14,5.7989,28.8719,0.0,10,24.71,False
225,2i,17,4.5361,35.0588,0.0,13,39.72,False
225,3i,7,11.4319,14.436,0.0,3,5.01,False
225,4i,9,10.2455,18.5605,0.0,3,13.72,False
230,1i,10,7.5287,20.6228,2880.0,4,24.71,False
230,2i,14,3.5723,28.8719,2160.0,8,39.72,False
230,3i,7,7.9343,14.436,0.0,4,5.0,False
230,4i,9,7.8852,18.5605,0.0,5,24.72,False
235,1i,9,10.9586,18.5605,2160.0,4,24.71,False
235,2i,13,6.5884,26.8097,2160.0,8,53.78,False
235,3i,9,10.3945,18.5605,0.0,5,9.03,False
235,4i,11,7.7958,22.6851,0.0,5,24.71,False
240,1i,8,9.4458,16.4982,720.0,4,24.71,False
240,2i,11,6.2703,22.6851,1440.0,8,53.76,False
240,3i,9,8.932,18.5605,0.0,5,9.0,False
240,4i,11,6.6561,22.6851,0.0,8,28.72,False
245,1i,8,8.4908,16.4982,0.0,4,24.71,False
245,2i,11,5.9074,22.6851,0.0,8,53.76,False
245,3i,9,6.7935,18.5605,0.0,6,13.71,False
245,4i,11,5.4148,22.6851,0.0,8,28.72,False
250,1i,8,6.569,16.4982,720.0,5,28.72,False
250,2i,11,5.3947,22.6851,720.0,8,53.76,False
250,3i,10,4.5292,20.6228,0.0,7,13.71,False
250,4i,12,3.6196,24.7474,0.0,9,28.72,False
255,1i,9,8.8964,18.5605,720.0,6,42.77,False
255,2i,12,5.8533,24.7474,720.0,9,57.85,False
255,3i,12,6.1859,24.7474,0.0,7,13.71,False
255,4i,14,5.0073,28.8719,0.0,9,28.72,False
260,1i,8,9.8291,16.4982,720.0,4,42.76,False
260,2i,10,6.3223,20.6228,1440.0,6,57.76,False
260,3i,12,5.9491,24.7474,0.0,9,26.42,False
260,4i,14,4.7082,28.8719,0.0,11,35.72,False
265,1i,7,11.1595,14.436,720.0,0,0.0,False
265,2i,9,7.7698,18.5605,720.0,3,57.76,False
265,3i,12,5.1041,24.7474,0.0,9,26.42,False
265,4i,14,4.3161,28.8719,0.0,11,35.72,False
270,1i,8,7.4183,16.4982,0.0,2,5.01,False
270,2i,10,7.4457,20.6228,0.0,2,8.21,False
270,3i,13,5.3988,26.8097,0.0,9,26.42,False
270,4i,15,4.8208,30.9342,0.0,11,35.72,False
275,1i,10,8.2889,20.6228,0.0,5,23.05,False
275,2i,12,8.1957,24.7474,0.0,5,19.21,False
275,3i,11,9.1121,22.6851,2880.0,4,13.0,False
275,4i,14,7.0894,28.8719,2160.0,6,35.72,False
280,1i,10,7.5873,20.6228,0.0,7,27.05,False
280,2i,12,6.7668,24.7474,0.0,8,37.06,False
280,3i,8,9.2595,16.4982,2160.0,5,17.01,False
280,4i,11,6.7131,22.6851,2160.0,7,39.72,False
285,1i,10,6.7437,20.6228,0.0,7,27.05,False
285,2i,12,5.7914,24.7474,0.0,9,44.35,False
285,3i,8,8.3314,16.4982,0.0,5,17.01,False
285,4i,10,6.244,20.6228,720.0,7,39.72,False
290,1i,11,6.4016,22.6851,0.0,7,27.05,False
290,2i,13,4.3816,26.8097,0.0,9,44.05,False
290,3i,8,7.7081,16.4982,720.0,5,17.01,False
290,4i,10,5.393,20.6228,720.0,7,39.72,False
295,1i,13,7.3757,26.8097,0.0,8,27.05,False
295,2i,15,5.3227,30.9342,0.0,10,44.05,False
295,3i,9,8.2455,18.5605,720.0,5,17.01,False
295,4i,12,7.4038,24.7474,0.0,7,39.72,False
300,1i,13,6.0854,26.8097,0.0,10,31.05,False
300,2i,15,4.5785,30.9342,0.0,12,56.76,False
300,3i,9,7.1331,18.5605,0.0,6,21.01,False
300,4i,12,6.6102,24.7474,0.0,8,46.72,False
305,1i,13,5.1659,26.8097,0.0,10,31.05,False
