timestamp,approach_edge,true_queue_length_m,true_queue_beyond_camera
310,4i,90.06,False
315,1i,1.0,False
315,2i,1.0,False
315,3i,0.0,False
315,4i,94.06,False
320,1i,0.0,False
320,2i,0.0,False
320,3i,0.0,False
320,4i,106.78,False
325,1i,1.0,False
325,2i,1.0,False
325,3i,1.0,False
325,4i,39.23,False
330,1i,1.0,False
330,2i,1.0,False
330,3i,1.0,False
330,4i,61.69,False
335,1i,1.0,False
335,2i,1.0,False
335,3i,1.0,False
335,4i,76.64,False
340,1i,1.0,False
340,2i,1.0,False
340,3i,1.0,False
340,4i,92.84,False
345,1i,1.0,False
345,2i,1.0,False
345,3i,1.0,False
345,4i,92.77,False
350,1i,0.0,False
350,2i,0.0,False
350,3i,1.0,False
350,4i,96.77,False
355,1i,1.0,False
355,2i,0.0,False
355,3i,1.0,False
355,4i,96.77,False
360,1i,1.0,False
360,2i,1.0,False
360,3i,1.0,False
360,4i,96.77,False
365,1i,1.0,False
365,2i,1.0,False
365,3i,1.0,False
365,4i,96.77,False
370,1i,1.0,False
370,2i,1.0,False
370,3i,1.0,False
370,4i,103.77,False
375,1i,1.0,False
375,2i,1.0,False
375,3i,5.0,False
375,4i,116.48,False
380,1i,1.0,False
380,2i,1.0,False
380,3i,5.0,False
380,4i,116.48,False
385,1i,1.0,False
385,2i,1.0,False
385,3i,5.0,False
385,4i,116.48,False
390,1i,1.0,False
390,2i,1.0,False
390,3i,5.0,False
390,4i,120.48,False
395,1i,1.0,False
395,2i,1.0,False
395,3i,0.0,False
395,4i,120.48,False
400,1i,1.0,False
400,2i,1.02,False
400,3i,1.0,False
400,4i,120.48,False
405,1i,1.0,False
405,2i,1.0,False
405,3i,1.0,False
405,4i,127.48,False
410,1i,1.0,False
410,2i,1.0,False
410,3i,1.0,False
410,4i,127.48,False
415,1i,1.0,False
415,2i,1.0,False
415,3i,1.0,False
415,4i,134.48,False
420,1i,1.0,False
420,2i,1.0,False
420,3i,1.0,False
420,4i,133.18,False
425,1i,15.04,False
425,2i,1.0,False
425,3i,1.0,False
425,4i,109.43,False
430,1i,15.04,False
430,2i,1.0,False
430,3i,1.0,False
430,4i,103.32,False
435,1i,15.04,False
435,2i,5.0,False
435,3i,1.0,False
435,4i,116.53,False
440,1i,1.0,False
440,2i,0.0,False
440,3i,1.0,False
440,4i,124.54,False
445,1i,1.0,False
445,2i,1.0,False
445,3i,1.0,False
445,4i,124.44,False
450,1i,1.0,False
450,2i,1.0,False
450,3i,1.0,False
