timestamp,vehicle_id,vehicle_type,edge_id,lane_id,is_internal_edge,is_approach_edge,lane_position_m,lane_length_m,distance_from_stop_line_m,speed_mps,acceleration_mps2,waiting_time_s,x,y,angle_deg
4.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,81.4596,484.9,403.4404,26.4647,-0.2039,0.0,514.8,92.9596,0.0
4.0,f_4i_left_0.0,hgv,4i,4i_2,0,1,67.7202,484.9,417.1798,19.2588,0.147,0.0,508.4,940.7798,180.0
4.0,f_4i_right_2.0,bike,4i,4i_0,0,1,77.6178,484.9,407.2822,26.1838,2.6668,0.0,502.0,930.8822,180.0
4.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,67.5211,484.9,417.3789,18.7351,-0.328,0.0,505.2,940.9789,180.0
5.0,f_1i_left_9.0,hgv,1i,1i_2,0,1,85.061,484.9,399.839,18.4462,-0.5003,0.0,96.561,508.4,90.0
5.0,f_1i_right_11.0,bike,1i,1i_0,0,1,106.4592,484.9,378.4408,27.6423,0.6428,0.0,117.9592,502.0,90.0
5.0,f_1i_straight_10.0,bus,1i,1i_1,0,1,89.0477,484.9,395.8523,19.4187,0.2246,0.0,100.5477,505.2,90.0
5.0,f_2i_left_6.0,bike,2i,2i_2,0,1,108.6656,484.9,376.2344,26.7244,-0.2494,0.0,899.8344,511.6,270.0
5.0,f_2i_right_8.0,bike,2i,2i_0,0,1,106.4331,484.9,378.4669,26.8452,0.1018,0.0,902.0669,518.0,270.0
5.0,f_2i_straight_7.0,car,2i,2i_1,0,1,100.6983,484.9,384.2017,24.6777,0.7056,0.0,907.8017,514.8,270.0
5.0,f_3i_left_3.0,car,3i,3i_2,0,1,98.7833,484.9,386.1167,23.6298,0.3419,0.0,511.6,110.2833,0.0
5.0,f_3i_right_5.0,bike,3i,3i_0,0,1,109.2741,484.9,375.6259,26.9116,-0.0418,0.0,518.0,120.7741,0.0
5.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,108.9154,484.9,375.9846,27.4558,0.9911,0.0,514.8,120.4154,0.0
5.0,f_4i_left_0.0,hgv,4i,4i_2,0,1,87.0393,484.9,397.8607,19.319,0.0602,0.0,508.4,921.4607,180.0
5.0,f_4i_right_2.0,bike,4i,4i_0,0,1,105.048,484.9,379.852,27.4301,1.2464,0.0,502.0,903.452,180.0
5.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,86.1472,484.9,398.7528,18.6261,-0.109,0.0,505.2,922.3528,180.0
6.0,f_1i_left_9.0,hgv,1i,1i_2,0,1,104.2225,484.9,380.6775,19.1615,0.7154,0.0,115.7225,508.4,90.0
6.0,f_1i_right_11.0,bike,1i,1i_0,0,1,133.5596,484.9,351.3404,27.1004,-0.5419,0.0,145.0596,502.0,90.0
6.0,f_1i_straight_10.0,bus,1i,1i_1,0,1,108.1344,484.9,376.7656,19.0868,-0.3319,0.0,119.6344,505.2,90.0
6.0,f_2i_left_6.0,bike,2i,2i_2,0,1,135.2083,484.9,349.6917,26.5427,-0.1817,0.0,873.2917,511.6,270.0
6.0,f_2i_right_8.0,bike,2i,2i_0,0,1,133.6506,484.9,351.2494,27.2175,0.3723,0.0,874.8494,518.0,270.0
6.0,f_2i_straight_7.0,car,2i,2i_1,0,1,124.7934,484.9,360.1066,24.0952,-0.5825,0.0,883.7066,514.8,270.0
6.0,f_3i_left_3.0,car,3i,3i_2,0,1,122.5052,484.9,362.3948,23.7219,0.0921,0.0,511.6,134.0052,0.0
6.0,f_3i_right_5.0,bike,3i,3i_0,0,1,136.0452,484.9,348.8548,26.7711,-0.1405,0.0,518.0,147.5452,0.0
6.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,136.4035,484.9,348.4965,27.4881,0.0322,0.0,514.8,147.9035,0.0
6.0,f_4i_left_0.0,hgv,4i,4i_2,0,1,105.4536,484.9,379.4464,18.4143,-0.9047,0.0,508.4,903.0464,180.0
6.0,f_4i_right_2.0,bike,4i,4i_0,0,1,131.283,484.9,353.617,26.2351,-1.1951,0.0,502.0,877.217,180.0
6.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,105.2218,484.9,379.6782,19.0746,0.4486,0.0,505.2,903.2782,180.0
7.0,f_1i_left_9.0,hgv,1i,1i_2,0,1,122.9435,484.9,361.9565,18.721,-0.4406,0.0,134.4435,508.4,90.0
7.0,f_1i_right_11.0,bike,1i,1i_0,0,1,160.5425,484.9,324.3575,26.9829,-0.1174,0.0,172.0425,502.0,90.0
7.0,f_1i_straight_10.0,bus,1i,1i_1,0,1,127.3472,484.9,357.5528,19.2128,0.126,0.0,138.8472,505.2,90.0
7.0,f_2i_left_6.0,bike,2i,2i_2,0,1,161.6358,484.9,323.2642,26.4275,-0.1152,0.0,846.8642,511.6,270.0
7.0,f_2i_right_8.0,bike,2i,2i_0,0,1,161.3583,484.9,323.5417,27.7077,0.4902,0.0,847.1417,518.0,270.0
7.0,f_2i_straight_7.0,car,2i,2i_1,0,1,149.3241,484.9,335.5759,24.5306,0.4355,0.0,859.1759,514.8,270.0
7.0,f_3i_left_3.0,car,3i,3i_2,0,1,145.8148,484.9,339.0852,23.3096,-0.4123,0.0,511.6,157.3148,0.0
7.0,f_3i_right_5.0,bike,3i,3i_0,0,1,162.9107,484.9,321.9893,26.8655,0.0944,0.0,518.0,174.4107,0.0
7.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,163.4126,484.9,321.4874,27.0091,-0.479,0.0,514.8,174.9126,0.0
7.0,f_4i_left_0.0,hgv,4i,4i_2,0,1,123.8468,484.9,361.0532,18.3933,-0.0211,0.0,508.4,884.6532,180.0
7.0,f_4i_right_2.0,bike,4i,4i_0,0,1,158.4747,484.9,326.4253,27.1916,0.9566,0.0,502.0,850.0253,180.0
7.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,123.4495,484.9,361.4505,18.2277,-0.847,0.0,505.2,885.0505,180.0
8.0,f_1i_left_9.0,hgv,1i,1i_2,0,1,141.613,484.9,343.287,18.6695,-0.0515,0.0,153.113,508.4,90.0
8.0,f_1i_right_11.0,bike,1i,1i_0,0,1,187.2549,484.9,297.6451,26.7124,-0.2705,0.0,198.7549,502.0,90.0
8.0,f_1i_straight_10.0,bus,1i,1i_1,0,1,146.2473,484.9,338.6527,18.9,-0.3127,0.0,157.7473,505.2,90.0
8.0,f_2i_left_6.0,bike,2i,2i_2,0,1,188.964,484.9,295.936,27.3282,0.9007,0.0,819.536,511.6,270.0
8.0,f_2i_right_8.0,bike,2i,2i_0,0,1,188.0598,484.9,296.8402,26.7015,-1.0062,0.0,820.4402,518.0,270.0
8.0,f_2i_straight_7.0,car,2i,2i_1,0,1,173.294,484.9,311.606,23.9699,-0.5607,0.0,835.206,514.8,270.0
8.0,f_3i_left_3.0,car,3i,3i_2,0,1,169.5489,484.9,315.3511,23.7341,0.4245,0.0,511.6,181.0489,0.0
8.0,f_3i_right_5.0,bike,3i,3i_0,0,1,189.6721,484.9,295.2279,26.7614,-0.1042,0.0,518.0,201.1721,0.0
8.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,189.7047,484.9,295.1953,26.2921,-0.717,0.0,514.8,201.2047,0.0
8.0,f_4i_left_0.0,hgv,4i,4i_2,0,1,143.0849,484.9,341.8151,19.2381,0.8449,0.0,508.4,865.4151,180.0
8.0,f_4i_right_2.0,bike,4i,4i_0,0,1,184.9927,484.9,299.9073,26.518,-0.6736,0.0,502.0,823.5073,180.0
8.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,141.665,484.9,343.235,18.2155,-0.0122,0.0,505.2,866.835,180.0
9.0,f_1i_left_9.0,hgv,1i,1i_2,0,1,160.8545,484.9,324.0455,19.2415,0.572,0.0,172.3545,508.4,90.0
9.0,f_1i_right_11.0,bike,1i,1i_0,0,1,213.3378,484.9,271.5622,26.0829,-0.6295,0.0,224.8378,502.0,90.0
9.0,f_1i_straight_10.0,bus,1i,1i_1,0,1,165.2462,484.9,319.6538,18.999,0.0989,0.0,176.7462,505.2,90.0
9.0,f_2i_left_6.0,bike,2i,2i_2,0,1,215.4022,484.9,269.4978,26.4383,-0.8899,0.0,793.0978,511.6,270.0
9.0,f_2i_right_8.0,bike,2i,2i_0,0,1,215.2694,484.9,269.6306,27.2096,0.5081,0.0,793.2306,518.0,270.0
9.0,f_2i_straight_7.0,car,2i,2i_1,0,1,196.7601,484.9,288.1399,23.4661,-0.5038,0.0,811.7399,514.8,270.0
9.0,f_3i_left_3.0,car,3i,3i_2,0,1,193.5919,484.9,291.3081,24.0431,0.309,0.0,511.6,205.0919,0.0
9.0,f_3i_right_5.0,bike,3i,3i_0,0,1,215.9642,484.9,268.9358,26.2921,-0.4692,0.0,518.0,227.4642,0.0
9.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,215.7883,484.9,269.1117,26.0837,-0.2084,0.0,514.8,227.2883,0.0
9.0,f_4i_left_0.0,hgv,4i,4i_2,0,1,162.1447,484.9,322.7553,19.0598,-0.1784,0.0,508.4,846.3553,180.0
9.0,f_4i_right_2.0,bike,4i,4i_0,0,1,212.5066,484.9,272.3934,27.5139,0.9959,0.0,502.0,795.9934,180.0
9.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,159.8775,484.9,325.0225,18.2125,-0.003,0.0,505.2,848.6225,180.0
10.0,f_1i_left_9.0,hgv,1i,1i_2,0,1,179.0966,484.9,305.8034,18.2421,-0.9994,0.0,190.5966,508.4,90.0
10.0,f_1i_right_11.0,bike,1i,1i_0,0,1,241.1026,484.9,243.7974,27.7648,1.6819,0.0,252.6026,502.0,90.0
10.0,f_1i_straight_10.0,bus,1i,1i_1,0,1,184.6136,484.9,300.2864,19.3673,0.3684,0.0,196.1136,505.2,90.0
10.0,f_2i_left_6.0,bike,2i,2i_2,0,1,242.8409,484.9,242.0591,27.4386,1.0004,0.0,765.6591,511.6,270.0
10.0,f_2i_right_8.0,bike,2i,2i_0,0,1,241.9646,484.9,242.9354,26.6952,-0.5144,0.0,766.5354,518.0,270.0
10.0,f_2i_straight_7.0,car,2i,2i_1,0,1,221.6008,484.9,263.2992,24.8408,1.3746,0.0,786.8992,514.8,270.0
10.0,f_3i_left_3.0,car,3i,3i_2,0,1,216.9833,484.9,267.9167,23.3913,-0.6517,0.0,511.6,228.4833,0.0
10.0,f_3i_right_5.0,bike,3i,3i_0,0,1,242.439,484.9,242.461,26.4748,0.1827,0.0,518.0,253.939,0.0
10.0,f_3i_straight_4.0,bike,3i,3i_1,0,1,242.3484,484.9,242.5516,26.56,0.4764,0.0,514.8,253.8484,0.0
10.0,f_4i_left_0.0,hgv,4i,4i_2,0,1,180.3971,484.9,304.5029,18.2524,-0.8074,0.0,508.4,828.1029,180.0
10.0,f_4i_right_2.0,bike,4i,4i_0,0,1,238.9091,484.9,245.9909,26.4025,-1.1114,0.0,502.0,769.5909,180.0
10.0,f_4i_straight_1.0,hgv,4i,4i_1,0,1,178.2824,484.9,306.6176,18.405,0.1925,0.0,505.2,830.2176,180.0
11.0,f_1i_left_9.0,hgv,1i,1i_2,0,1,198.2689,484.9,286.6311,19.1723,0.9302,0.0,209.7689,508.4,90.0
11.0,f_1i_right_11.0,bike,1i,1i_0,0,1,267.9431,484.9,216.9569,26.8405,-0.9243,0.0,279.4431,502.0,90.0
