timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
205,1i,5,10.497,1.0,133.89
205,2i,4,5.1261,1.0,180.77
205,3i,3,6.293,5.0,224.33
205,4i,3,6.0467,1.0,35.1
210,1i,5,5.311,1.0,43.08
210,2i,4,3.8767,1.0,89.59
210,3i,3,5.2796,5.0,136.64
210,4i,2,0.0,1.0,12.0
215,1i,6,3.4234,1.0,436.95
215,2i,4,2.386,1.0,21.12
215,3i,3,14.0628,16.56,431.9
215,4i,2,12.7753,10.7,432.38
220,1i,7,6.5719,1.0,483.3
220,2i,6,9.2884,1.0,483.3
220,3i,5,17.5096,1.4,483.3
220,4i,1,23.5966,312.99,312.99
225,1i,7,6.5989,1.0,347.42
225,2i,6,8.7399,1.0,351.11
225,3i,5,15.4837,1.0,348.77
225,4i,1,24.094,193.89,193.89
230,1i,4,10.6442,15.04,221.2
230,2i,3,17.7051,1.0,215.64
230,3i,5,14.3989,1.0,214.47
230,4i,1,21.2882,75.62,75.62
235,1i,4,9.5597,15.04,112.92
235,2i,3,15.512,1.0,88.97
235,3i,5,9.6414,1.0,91.99
235,4i,1,8.0181,8.99,8.99
240,1i,3,5.1565,15.04,23.47
240,2i,4,10.9012,0.7,480.3
240,3i,6,7.0859,1.0,483.3
240,4i,1,0.0347,1.03,1.03
245,1i,2,0.0,15.04,19.04
245,2i,3,7.8058,1.0,359.85
245,3i,6,4.4472,1.0,348.62
245,4i,1,0.0,1.0,1.0
250,1i,4,11.9645,15.04,408.09
250,2i,4,12.7047,1.0,402.62
250,3i,8,9.6664,1.0,407.4
250,4i,1,0.0,1.0,1.0
255,1i,4,12.0432,15.04,289.38
255,2i,4,12.9097,1.0,268.06
255,3i,8,8.8975,1.0,285.95
255,4i,1,0.0,1.0,1.0
260,1i,4,12.2951,13.34,170.06
260,2i,3,13.5217,10.72,134.44
260,3i,8,7.3475,1.0,165.93
260,4i,1,0.0,1.0,1.0
265,1i,4,9.4405,1.47,63.02
265,2i,2,7.3542,1.1,36.82
265,3i,8,3.5146,1.0,64.56
265,4i,1,0.0,1.0,1.0
270,1i,4,2.6422,1.0,17.44
270,2i,2,0.9902,1.0,1.34
270,3i,8,0.3915,1.0,27.18
270,4i,2,12.9697,1.0,378.1
275,1i,5,5.3511,1.0,456.65
275,2i,4,9.3635,1.0,455.98
275,3i,5,1.0179,1.0,26.05
275,4i,2,26.0804,247.76,456.7
280,1i,5,5.4288,1.0,320.94
280,2i,4,9.6133,1.0,361.33
